44	-75	0
38	-69	0
86	-34	-6
4	1	0
1	-4601	-110
-14	-24	4
184	13	10
50003	-50014	-71300
50000	-50032	-71296
24	-56	0
5	-21	1
107	-3	16
62	-111	0
-27	-3	0
-1	3	-712
10	0	-98
11	21	0
50004	-50000	-71300
-14	-23	10
56	-87	0
14	8	0
-55	-12	0
-9	-9	12
-55	6	0
106	8	1
199	-31	10
1	-4600	-104
-7	60	0
126	2	11
91	-48	0
-37	-49	0
94	-88	0
0	-25	-500
32	-13	10
-1	-4602	-104
2	5	2
-41	-12	6
-5	38	0
4	-31	-2
-23	-51	0
96	-101	0
117	-54	0
86	-35	-2
-48	-64	0
-4	24	0
-47	-1	0
-19	-28	0
3	7	8
26	-13	6
-19	-26	2
-78	-8	0
-5	-9	0
-137	3	-2
50000	-49987	-71300
134	1	20
-55	4	0
75	-104	-12
-28	-55	0
-8	-7	0
49987	-50029	-71298
1	0	-95
-25	-42	0
-38	-5	6
-47	6	0
-1	-4600	-106
21	-25	0
-9	-25	-6
100000	100003	100000
84	-32	0
-123	0	0
126	-3	8
-17	-24	-2
88	10	2
19999	20003	20002
-132	5	-1
0	8	0
-3	56	0
-23	-57	0
64	-7	0
-12	-43	10
104	-50	0
49998	-50000	-71300
-2	32	0
24	-59	0
110	-14	16
-13	-2	0
-53	-10	0
24	-19	0
49990	-50000	-71300
-1	-4602	-108
-42	-62	0
50005	-50000	-71300
69	-103	0
20	-13	0
89	-38	4
-30	-3	-2
-9	47	0
14	-27	2
-1	-9	0
200	-22	10
190	-20	10
25	-62	0
67	-47	0
-26	-18	0
-1	-34	0
-1	-11	0
20000	19992	20000
109	-48	3
-51	-6	0
1	-1	-98
0	-14999	3
-48	-11	-5
50003	-50000	-71300
103	-49	4
6	6	0
112	-45	2
-40	-1	0
-11	-15	6
4	6	8
0	-21	-500
32	-18	0
49991	-50024	-71298
156	15	10
113	-45	-2
200	-31	10
49992	-50000	-71300
204	-20	10
-149	37	-4
74	-105	0
-24	-11	5
49989	-50023	-71298
71	-50	0
5	-21	0
49998	-50034	-71303
78	-100	-6
2	-24	-494
6	-23	-496
0	0	-680
-7	4	0
35	-35	-2
20004	20001	19500
5	-3	0
15	11	0
-47	-3	0
-13	4	-106
25	-21	2
0	-7	-500
157	16	10
199	-29	10
43	-17	0
93	-97	0
20000	19992	20003
50012	-50028	-71270
-31	-5	0
89	-37	-2
56	-97	0
-11	7	0
83	-38	-4
16	12	0
74	-103	-10
-23	-60	0
74	-44	4
126	4	8
100000	99998	100000
-5	1	2
96	10	2
-21	-19	2
2	-1	-10
-11	-43	0
117	-46	0
-10	5	-102
-19	-16	14
-19	-15	12
20000	19995	20000
109	-14	16
-30	-55	0
-16	-24	12
5	-1	-98
-53	9	0
0	-11	-97
-44	7	0
199	-23	10
-52	-64	0
80	-39	0
50003	-50039	-71310
0	4	0
-19	-5	0
19	-18	0
119	-55	0
134	2	24
-40	-10	-2
-17	-24	2
78	-98	0
49995	-49999	-71300
-27	-1	0
83	-35	-4
-10	5	-104
111	-59	32
50009	-50029	-71273
63	-112	0
32	-14	10
-38	-8	0
-19	-22	0
111	-14	22
105	-50	0
9	21	4
87	-91	2
-30	-24	6
114	-49	0
50	-20	1
158	15	10
3	-1	-98
85	-34	0
8	21	4
-22	-58	0
12	-44	0
0	-4604	-107
-39	-13	0
0	-6	0
0	-13	0
-3	2	-704
-48	-66	0
-16	41	0
-47	5	-2
58	-107	0
20000	19999	18000
37	-68	0
20000	20001	18000
106	-97	0
16	-3	2
65	-5	0
74	-96	-5
49999	-50035	-71304
5	6	0
91	-105	0
10	22	0
-20	-16	12
114	-59	32
131	-4	14
21	-9	2
-29	-24	6
108	-51	2
26	-23	2
-42	-3	0
28	-12	2
19998	20001	19500
-26	-12	0
105	8	0
-54	9	0
-17	-5	0
0	0	-2
0	-10	-500
20001	19994	19998
111	7	4
115	-53	0
-7	-1	2
169	15	10
73	-121	0
13	13	0
-5	2	-700
92	-104	0
9	11	0
-5	-9	4
15	-26	0
3	-3	-699
-35	-3	0
-28	0	0
77	-100	-6
14	0	0
-55	-13	0
-1	24	1
50001	-50028	-71305
-7	-30	-10
9	22	0
9	19	0
-138	-2	0
17	11	0
93	-84	2
35	-67	0
-39	-63	0
-19	-13	2
49997	-50018	-71300
-77	-8	0
49986	-50029	-71296
50011	-50030	-71270
-47	-8	0
112	-58	20
-55	-6	0
-25	-19	0
-33	-61	0
5	-24	0
100005	100000	100000
-24	-11	2
-44	-13	0
-4	5	-700
-15	-28	0
-5	3	-700
-41	-3	2
-154	29	20
127	-1	12
139	-3	14
50004	-50024	-71300
20002	19996	20006
93	-86	2
-32	-18	0
134	2	25
0	-4603	-108
1	5	0
18	-4	2
20000	19995	20006
54	-77	0
200	-198	-198
108	-14	16
100	-52	0
16	-15	0
120	3	6
-10	-17	0
49992	-50026	-71298
74	-98	0
-41	-5	6
-3	-18	-6
-10	4	-104
-10	-4	0
-7	0	0
25	-9	12
-21	-66	0
33	-18	0
-14	-3	0
0	-12	-95
56	-94	0
-150	38	0
87	-107	0
208	-25	10
-42	-15	0
16	-12	10
-12	1	0
87	-91	0
49996	-50015	-71300
26	-17	0
-151	51	0
65	-93	0
112	7	4
-33	-55	0
9	-44	0
-13	5	-108
110	9	4
88	-34	-2
71	-80	0
128	-7	12
-42	-13	6
77	-9	0
-46	-3	0
49997	-50016	-71300
86	-39	1
72	-51	0
50009	-50029	-71294
126	2	12
5	1	-700
20001	20005	19500
10	-42	0
-38	-19	6
50003	-50024	-71300
1	-11	-704
-48	-59	0
50000	-50028	-71304
-138	3	0
29	-63	0
9	-43	0
50003	-50035	-71304
-31	-6	0
-27	-11	3
-46	-65	0
134	2	20
195	-19	10
78	-105	0
-10	8	0
-46	-62	0
78	-36	0
131	-7	12
27	-61	0
-33	-4	2
-8	-28	0
-134	2	-6
50000	-50009	-71300
-27	-67	0
67	-116	0
95	-94	0
-149	37	0
50000	-49992	-71300
50000	-49996	-71300
-5	57	0
-10	-27	-12
91	-87	0
1	1	2
-31	-2	0
106	-50	0
9	-41	0
50005	-50032	-71302
77	-101	-6
85	-2	0
7	24	0
28	-19	2
13	-3	0
-99	5	0
0	12	0
3	-16	0
4	-3	-688
-43	-67	0
28	-25	0
64	-1	0
-5	-6996	-799
22	-10	10
-99	-7	0
50009	-50029	-71302
5	-14998	4
-48	-11	-7
-25	-24	6
47	-76	0
0	9	0
128	5	8
-42	-55	0
-63	-16	0
8	18	0
3	-18	-500
-8	43	0
123	3	6
1	-4600	-108
78	-10	0
-9	-30	-8
2	-25	-497
73	-97	-4
0	-27	-496
92	9	2
-137	1	0
-4	0	2
107	-49	0
-12	-20	0
69	-50	0
-14	-24	2
-9	-15	4
-21	-12	2
110	-62	32
-5	-5	0
6	-5	-500
-4	46	0
-5	-20	0
12	11	0
91	12	2
112	-12	16
30	-19	0
129	-6	10
20003	20001	19500
-19	-9	0
133	1	18
-40	-3	0
1	-5	2
-139	5	0
-12	-24	0
107	-100	0
206	-26	10
160	13	10
-2	-31	-1
-48	-15	0
113	-63	32
-5	-7000	-796
107	-99	0
97	-94	0
5	-5	0
-132	5	0
50009	-50029	-71292
-95	-7	1
-21	-19	1
111	-51	0
49999	-50030	-71301
31	-30	0
-20	-5	0
